Campaign,Ad group,Status,Max CPC,Notes
PF9 - Property Comparisons,Buildium,Paused,3.50,Lands on /comparisons/buildium-vs-pf9.html
PF9 - Property Comparisons,AppFolio,Paused,4.00,Lands on /comparisons/appfolio-vs-pf9.html
PF9 - Property Comparisons,DoorLoop,Paused,3.00,Lands on /comparisons/doorloop-vs-pf9.html
PF9 - Manufacturing Comparisons,MRPeasy,Paused,2.50,Lands on /comparisons/mrpeasy-vs-pf9.html
PF9 - Manufacturing Comparisons,Katana,Paused,2.50,Lands on /comparisons/katana-vs-pf9.html
PF9 - Manufacturing Comparisons,Fishbowl,Paused,3.00,Lands on /comparisons/fishbowl-vs-pf9.html
